"Date","Price","Open","High","Low","Change %"
"Apr 15, 2010","28.9965","28.9510","29.0838","28.9060","0.18"
"Apr 16, 2010","29.0675","29.0058","29.1015","28.9790","0.24"
"Apr 19, 2010","29.1350","29.0750","29.2897","29.0450","0.23"
"Apr 20, 2010","29.1420","29.1525","29.2093","29.0750","0.02"
"Apr 21, 2010","29.1319","29.1423","29.1865","29.0540","-0.03"
"Apr 22, 2010","29.2201","29.1275","29.2675","29.0951","0.30"
"Apr 23, 2010","29.1030","29.2300","29.3425","29.0835","-0.40"
"Apr 26, 2010","29.0250","29.1554","29.1760","29.0265","-0.27"
"Apr 27, 2010","29.3650","29.0383","29.3848","29.0060","1.17"
"Apr 28, 2010","29.3376","29.3820","29.4615","29.2699","-0.09"
"Apr 29, 2010","29.2535","29.3495","29.3825","29.1938","-0.29"
"Apr 30, 2010","29.2260","29.2331","29.2658","29.0880","-0.09"
"May 03, 2010","29.2985","29.1670","29.3295","29.1760","0.25"
"May 04, 2010","29.6028","29.3023","29.6079","29.2660","1.04"
"May 05, 2010","30.0540","29.6053","30.1125","29.5850","1.52"
"May 06, 2010","30.6560","30.0498","30.7640","30.0444","2.00"
"May 07, 2010","30.4694","30.6958","30.8471","30.3765","-0.61"
"May 10, 2010","30.4396","30.3528","30.4700","30.2464","-0.10"
"May 11, 2010","30.2270","30.4338","30.5201","30.1315","-0.70"
"May 12, 2010","30.0165","30.2690","30.3418","29.9083","-0.70"
"May 13, 2010","30.0460","30.0214","30.0702","29.8358","0.10"
"May 14, 2010","30.3425","30.0544","30.3663","30.0120","0.99"
"May 17, 2010","30.5305","30.3750","30.8412","30.3450","0.62"
"May 18, 2010","30.5390","30.5370","30.6370","30.2300","0.03"
"May 19, 2010","30.6230","30.5300","30.9750","30.4910","0.28"
"May 20, 2010","31.4565","30.6350","31.5433","30.6245","2.72"
"May 21, 2010","31.0875","31.4480","31.4700","30.8670","-1.17"
"May 24, 2010","31.0615","31.1223","31.1965","30.7616","-0.08"
"May 25, 2010","31.4200","31.0568","31.6893","31.0595","1.15"
"May 26, 2010","31.1900","31.4260","31.5450","31.0625","-0.73"
"May 27, 2010","30.6485","31.2093","31.2260","30.6205","-1.74"
"May 28, 2010","30.6690","30.6598","30.7663","30.3710","0.07"
"May 31, 2010","30.8860","30.6970","30.9560","30.6615","0.71"
"Jun 01, 2010","31.1174","30.8920","31.3880","30.8835","0.75"
"Jun 02, 2010","31.1535","31.1192","31.2675","31.0620","0.12"
"Jun 03, 2010","31.1550","31.1608","31.2050","30.8140","0.00"
"Jun 04, 2010","31.5325","31.1588","31.5463","30.9631","1.21"
"Jun 07, 2010","31.8560","31.5250","31.8817","31.5250","1.03"
"Jun 08, 2010","31.7915","31.8498","31.9488","31.5482","-0.20"
"Jun 09, 2010","31.6840","31.7962","31.8610","31.5669","-0.34"
"Jun 10, 2010","31.5625","31.6945","31.7523","31.4325","-0.38"
"Jun 11, 2010","31.6025","31.5500","31.6090","31.3755","0.13"
"Jun 14, 2010","31.6585","31.6078","31.6643","31.6073","0.18"
"Jun 15, 2010","31.2793","31.6615","31.7090","31.2475","-1.20"
"Jun 16, 2010","31.2083","31.2775","31.3233","31.1290","-0.23"
"Jun 17, 2010","30.9400","31.2158","31.2850","30.8935","-0.86"
"Jun 18, 2010","30.9745","30.9450","31.0578","30.7911","0.11"
"Jun 21, 2010","30.8512","30.9629","30.9815","30.6729","-0.40"
"Jun 22, 2010","30.9116","30.8413","31.0408","30.8150","0.20"
"Jun 23, 2010","30.9901","30.9227","31.1350","30.9067","0.25"
"Jun 24, 2010","31.0400","30.9940","31.1865","30.9578","0.16"
"Jun 25, 2010","30.9900","31.0450","31.2568","30.9733","-0.16"
"Jun 28, 2010","31.0590","31.0003","31.0810","30.9460","0.22"
"Jun 29, 2010","31.3375","31.0700","31.3505","31.0475","0.90"
"Jun 30, 2010","31.2590","31.3335","31.3590","31.1365","-0.25"
"Jul 01, 2010","31.0300","31.2663","31.4135","31.0250","-0.73"
"Jul 02, 2010","31.0860","31.0350","31.2775","31.0250","0.18"
"Jul 05, 2010","31.1380","31.1015","31.1858","31.0855","0.17"
"Jul 06, 2010","30.9935","31.1478","31.2250","30.9500","-0.46"
"Jul 07, 2010","31.0205","30.9940","31.1672","30.9825","0.09"
"Jul 08, 2010","30.8430","31.0165","31.0393","30.8160","-0.57"
"Jul 09, 2010","30.8700","30.8342","30.9358","30.7360","0.09"
"Jul 12, 2010","30.7770","30.8800","30.9458","30.7608","-0.30"
"Jul 13, 2010","30.5745","30.7775","30.8898","30.5550","-0.66"
"Jul 14, 2010","30.5455","30.5920","30.6358","30.4950","-0.09"
"Jul 15, 2010","30.3720","30.5600","30.6075","30.3491","-0.57"
"Jul 16, 2010","30.5005","30.3720","30.5280","30.3565","0.42"
"Jul 19, 2010","30.5090","30.5260","30.6259","30.4633","0.03"
"Jul 20, 2010","30.4880","30.5203","30.5783","30.3685","-0.07"
"Jul 21, 2010","30.4970","30.4993","30.5460","30.3705","0.03"
"Jul 22, 2010","30.3470","30.5215","30.5731","30.3165","-0.49"
"Jul 23, 2010","30.3300","30.3640","30.5100","30.2365","-0.06"
"Jul 26, 2010","30.2200","30.3550","30.4000","30.2120","-0.36"
"Jul 27, 2010","30.2135","30.2475","30.2875","30.0635","-0.02"
"Jul 28, 2010","30.2340","30.2245","30.2813","30.0680","0.07"
"Jul 29, 2010","30.1605","30.2500","30.2650","30.0750","-0.24"
"Jul 30, 2010","30.2600","30.1748","30.3288","30.1245","0.33"
"Aug 02, 2010","29.9580","30.2500","30.2850","29.9493","-1.00"
"Aug 03, 2010","29.7420","29.9763","30.0610","29.6659","-0.72"
"Aug 04, 2010","29.8155","29.7395","29.9031","29.7108","0.25"
"Aug 05, 2010","29.8362","29.8228","29.9130","29.7544","0.07"
"Aug 06, 2010","29.7725","29.8419","29.8952","29.7143","-0.21"
"Aug 09, 2010","29.9175","29.7563","29.9550","29.7365","0.49"
"Aug 10, 2010","30.0165","29.9020","30.1410","29.8063","0.33"
"Aug 11, 2010","30.4692","30.0163","30.5135","29.9208","1.51"
"Aug 12, 2010","30.6018","30.4504","30.6590","30.3681","0.44"
"Aug 13, 2010","30.5450","30.5987","30.6100","30.3895","-0.19"
"Aug 16, 2010","30.5020","30.5420","30.6038","30.4225","-0.14"
"Aug 17, 2010","30.4100","30.5038","30.5405","30.3313","-0.30"
"Aug 18, 2010","30.4198","30.3975","30.4650","30.3389","0.03"
"Aug 19, 2010","30.4886","30.4425","30.5570","30.3790","0.23"
"Aug 20, 2010","30.6303","30.5001","30.6950","30.4700","0.46"
"Aug 23, 2010","30.6906","30.6438","30.7300","30.5652","0.20"
"Aug 24, 2010","30.8720","30.6995","30.9550","30.6893","0.59"
"Aug 25, 2010","30.9255","30.8691","30.9920","30.7976","0.17"
"Aug 26, 2010","30.7020","30.9388","30.9513","30.6623","-0.72"
"Aug 27, 2010","30.6335","30.7313","30.7603","30.6288","-0.22"
"Aug 30, 2010","30.6765","30.6600","30.7258","30.6112","0.14"
"Aug 31, 2010","30.8250","30.6803","30.9025","30.6700","0.48"
"Sep 01, 2010","30.7090","30.8250","30.8570","30.6838","-0.38"
"Sep 02, 2010","30.6970","30.7298","30.7763","30.6440","-0.04"
"Sep 03, 2010","30.5818","30.6993","30.7360","30.5828","-0.38"
"Sep 06, 2010","30.6155","30.5933","30.6463","30.5522","0.11"
"Sep 07, 2010","30.9075","30.6125","30.9363","30.6098","0.95"
"Sep 08, 2010","30.8495","30.9095","30.9637","30.8005","-0.19"
"Sep 09, 2010","30.8730","30.8515","30.9354","30.7938","0.08"
"Sep 10, 2010","30.9345","30.8933","30.9643","30.8315","0.20"
"Sep 13, 2010","30.6585","30.9033","30.9138","30.6325","-0.89"
"Sep 14, 2010","30.5845","30.6578","30.8188","30.5358","-0.24"
"Sep 15, 2010","30.9500","30.5814","31.0035","30.5477","1.20"
"Sep 16, 2010","31.2170","30.9583","31.3738","30.8725","0.86"
"Sep 17, 2010","30.9650","31.2318","31.2515","30.9350","-0.81"
"Sep 20, 2010","31.0817","30.9690","31.1238","30.9175","0.38"
"Sep 21, 2010","30.8949","31.0967","31.1368","30.8688","-0.60"
"Sep 22, 2010","30.9840","30.8892","31.0800","30.8320","0.29"
"Sep 23, 2010","31.0210","31.0048","31.0830","30.8365","0.12"
"Sep 24, 2010","30.7420","31.0360","31.0825","30.7440","-0.90"
"Sep 27, 2010","30.5555","30.7633","30.7690","30.4990","-0.61"
"Sep 28, 2010","30.4000","30.5604","30.6567","30.3743","-0.51"
"Sep 29, 2010","30.4020","30.3942","30.4524","30.3555","0.01"
"Sep 30, 2010","30.5814","30.4245","30.6610","30.3975","0.59"
"Oct 01, 2010","30.4850","30.5893","30.6200","30.4295","-0.32"
"Oct 04, 2010","30.4684","30.4583","30.5680","30.4025","-0.05"
"Oct 05, 2010","30.0200","30.4903","30.5430","29.9965","-1.47"
"Oct 06, 2010","29.7850","30.0280","30.0493","29.7600","-0.78"
"Oct 07, 2010","29.8369","29.7962","29.8865","29.5644","0.17"
"Oct 08, 2010","29.8530","29.8188","30.0395","29.7470","0.05"
"Oct 11, 2010","29.9284","29.8815","29.9562","29.7605","0.25"
"Oct 12, 2010","29.9917","29.9309","30.2518","29.9106","0.21"
"Oct 13, 2010","30.0950","30.0028","30.2345","29.9278","0.34"
"Oct 14, 2010","30.0499","30.1150","30.1228","29.8750","-0.15"
"Oct 15, 2010","30.2855","30.0529","30.3475","30.0421","0.78"
"Oct 18, 2010","30.4110","30.2993","30.6275","30.3005","0.41"
"Oct 19, 2010","30.7195","30.4328","30.7585","30.3470","1.01"
"Oct 20, 2010","30.6625","30.7405","30.9050","30.6465","-0.19"
"Oct 21, 2010","30.6550","30.6803","30.8045","30.5428","-0.02"
"Oct 22, 2010","30.3310","30.6645","30.7080","30.3360","-1.06"
"Oct 25, 2010","30.2840","30.3723","30.4035","30.1690","-0.15"
"Oct 26, 2010","30.4505","30.2990","30.5065","30.2820","0.55"
"Oct 27, 2010","30.6955","30.4680","30.7655","30.4462","0.80"
"Oct 28, 2010","30.5938","30.7103","30.7828","30.5821","-0.33"
"Oct 29, 2010","30.8430","30.6026","30.9000","30.5757","0.81"
"Nov 01, 2010","30.7890","30.8274","30.8975","30.6817","-0.18"
"Nov 02, 2010","30.7575","30.8165","30.8380","30.7191","-0.10"
"Nov 03, 2010","30.7920","30.7725","30.8410","30.7100","0.11"
"Nov 04, 2010","30.7460","30.7860","30.7845","30.7555","-0.15"
"Nov 05, 2010","30.7490","30.7670","30.7680","30.7570","0.01"
"Nov 08, 2010","30.8065","30.7695","30.8601","30.7365","0.19"
"Nov 09, 2010","30.7935","30.8165","30.9185","30.5655","-0.04"
"Nov 10, 2010","30.6403","30.8093","30.8565","30.6060","-0.50"
"Nov 11, 2010","30.6307","30.6464","30.6815","30.4658","-0.03"
"Nov 12, 2010","30.8010","30.6314","30.8549","30.6213","0.56"
"Nov 15, 2010","30.9810","30.8119","31.0159","30.7874","0.58"
"Nov 16, 2010","31.2275","30.9948","31.2900","30.9690","0.80"
"Nov 17, 2010","31.3250","31.2485","31.4203","31.1967","0.31"
"Nov 18, 2010","31.0300","31.3368","31.3391","30.9970","-0.94"
"Nov 19, 2010","31.0890","31.0350","31.1375","30.9075","0.19"
"Nov 22, 2010","31.1180","31.0755","31.1900","30.9490","0.09"
"Nov 23, 2010","31.4200","31.1360","31.4483","31.1069","0.97"
"Nov 24, 2010","31.3190","31.4393","31.4536","31.2245","-0.32"
"Nov 25, 2010","31.1778","31.3365","31.3770","31.1394","-0.45"
"Nov 26, 2010","31.3853","31.1774","31.5185","31.1631","0.67"
"Nov 29, 2010","31.3910","31.3842","31.4520","31.2390","0.02"
"Nov 30, 2010","31.5316","31.3486","31.5658","31.2758","0.45"
"Dec 01, 2010","31.3490","31.5350","31.5738","31.3200","-0.58"
"Dec 02, 2010","31.2010","31.3743","31.5133","31.1995","-0.47"
"Dec 03, 2010","31.2320","31.2153","31.3388","31.1785","0.10"
"Dec 06, 2010","31.2140","31.2320","31.3458","31.1875","-0.06"
"Dec 07, 2010","31.1190","31.2158","31.2880","30.9660","-0.30"
"Dec 08, 2010","31.0340","31.1400","31.2835","31.0210","-0.27"
"Dec 09, 2010","30.9265","31.0525","31.0765","30.9000","-0.35"
"Dec 10, 2010","30.9245","30.9445","30.9883","30.8295","-0.01"
"Dec 13, 2010","30.7120","30.9420","30.9870","30.6430","-0.69"
"Dec 14, 2010","30.7150","30.6983","30.7772","30.6515","0.01"
"Dec 15, 2010","30.8150","30.7300","30.8450","30.6042","0.33"
"Dec 16, 2010","30.7123","30.8169","30.8373","30.6905","-0.33"
"Dec 17, 2010","30.7900","30.7223","30.8290","30.6495","0.25"
"Dec 20, 2010","30.8421","30.8010","30.8671","30.7445","0.17"
"Dec 21, 2010","30.7260","30.8421","30.8471","30.6672","-0.38"
"Dec 22, 2010","30.6385","30.7480","30.7671","30.6037","-0.28"
"Dec 23, 2010","30.5560","30.6421","30.7007","30.5494","-0.27"
"Dec 24, 2010","30.4620","30.5607","30.5969","30.4010","-0.31"
"Dec 27, 2010","30.3090","30.4708","30.5190","30.3225","-0.50"
"Dec 28, 2010","30.3423","30.3288","30.3732","30.1950","0.11"
"Dec 29, 2010","30.4510","30.3430","30.5175","30.3178","0.36"
"Dec 30, 2010","30.5593","30.4150","30.6250","30.3415","0.36"
"Dec 31, 2010","30.5720","30.5587","30.5895","30.4704","0.04"
"Jan 03, 2011","30.5320","30.5920","30.6785","30.5270","-0.13"
"Jan 04, 2011","30.5780","30.5360","30.5985","30.5335","0.15"
"Jan 05, 2011","30.6280","30.5945","30.6555","30.5905","0.16"
"Jan 06, 2011","30.6900","30.6570","30.7175","30.6500","0.20"
"Jan 07, 2011","30.7520","30.7190","30.7795","30.7120","0.20"
"Jan 10, 2011","30.7500","30.7735","30.7500","30.7500","-0.01"
"Jan 11, 2011","30.5229","30.7644","30.7369","30.5132","-0.74"
"Jan 12, 2011","30.0855","30.5214","30.5372","30.0955","-1.43"
"Jan 13, 2011","29.9270","30.0995","30.1518","29.9190","-0.53"
"Jan 14, 2011","29.9901","29.9438","30.0967","29.9175","0.21"
"Jan 17, 2011","29.9817","30.0267","30.0967","29.9338","-0.03"
"Jan 18, 2011","29.8922","29.9834","30.0009","29.8139","-0.30"
"Jan 19, 2011","29.8347","29.9005","29.9425","29.7698","-0.19"
"Jan 20, 2011","30.0045","29.8350","30.0805","29.8123","0.57"
"Jan 21, 2011","29.8717","29.9953","30.0614","29.8667","-0.44"
"Jan 24, 2011","29.8325","29.8567","29.9273","29.8028","-0.13"
"Jan 25, 2011","29.7065","29.8475","29.8610","29.6978","-0.42"
"Jan 26, 2011","29.7030","29.7135","29.8175","29.6925","-0.01"
"Jan 27, 2011","29.5800","29.7168","29.7332","29.5568","-0.41"
"Jan 28, 2011","29.8118","29.5860","29.8375","29.5765","0.78"
"Jan 31, 2011","29.7850","29.8168","29.8798","29.7395","-0.09"
"Feb 01, 2011","29.5217","29.7943","29.8122","29.5267","-0.88"
"Feb 02, 2011","29.4300","29.5317","29.5369","29.3950","-0.31"
"Feb 03, 2011","29.4265","29.4393","29.4725","29.2670","-0.01"
"Feb 04, 2011","29.3976","29.4410","29.4780","29.3320","-0.10"
"Feb 07, 2011","29.2640","29.4342","29.4482","29.2477","-0.45"
"Feb 08, 2011","29.2600","29.2713","29.3169","29.1963","-0.01"
"Feb 09, 2011","29.2370","29.2654","29.3501","29.2278","-0.08"
"Feb 10, 2011","29.3340","29.2545","29.4004","29.2396","0.33"
"Feb 11, 2011","29.3020","29.3518","29.4055","29.2555","-0.11"
"Feb 14, 2011","29.2730","29.3368","29.3568","29.1925","-0.10"
"Feb 15, 2011","29.3155","29.2863","29.3492","29.2269","0.15"
"Feb 16, 2011","29.1985","29.3338","29.3468","29.1919","-0.40"
"Feb 17, 2011","29.2290","29.2113","29.2930","29.1697","0.10"
"Feb 18, 2011","29.1040","29.2510","29.2788","29.1330","-0.43"
"Feb 21, 2011","29.1470","29.1209","29.1955","29.1070","0.15"
"Feb 22, 2011","29.2799","29.1600","29.3269","29.1375","0.46"
"Feb 23, 2011","29.1789","29.2812","29.3092","29.1300","-0.34"
"Feb 24, 2011","28.9620","29.1794","29.2495","28.9500","-0.74"
